"Month","Year","Amount","Description","Category","Classify","Expense type","","","","","","","","","","","","","","","","","",""
"01","2025","  27.979.000 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","","","","","","","","","","","","","","","",""
"01","2025","  18.000.000 ","Thuê bằng bs+bằng y tá","3. Chi phí quản lý doanh nghiệp","Thuê bằng bác sĩ","Định phí","","","","","","","","","","","","","","","","","",""
"01","2025","  15.883.333 ","chi phí cho quận, phường","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  2.000.000 ","thuế","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  8.100.000 ","Tiền hàm tạm TGIP","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  983.333 ","composite","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  440.000 ","Giấy phòng điều trị","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  1.273.000 ","Thuốc + nước muối","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  895.000 ","tiền thuốc tê xanh","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  1.400.000 ","tiền cao su đặc","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  357.000 ","Cồn rửa máng in TGIP","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  7.200.000 ","Màng xương","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  120.000 ","2 đầu bàn chải","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  31.800.000 ","công nợ xương màn osteobiol đợt 6","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  14.470.000 ","hd SIC (còn 4 đợt)","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  31.400.000 ","hd xương màn (còn 2 đợt)","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  757.000 ","dụng cụ cắt tỉa răng nhựa + hộp chống sốc)","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  4.382.000 ","tiền xnm","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  7.197.000 ","công nợ Thanh Ngọc","1. Giá vốn hàng bán","Lab răng sứ","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  112.000.000 ","Hd 1000 trụ Dentium done","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  165.000 ","mua kềm cho phụ tá(TGIP)","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  205.900.000 ","lab Thịnh","1. Giá vốn hàng bán","Lab răng sứ","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  10.470.000 ","lab AZ","1. Giá vốn hàng bán","Lab răng sứ","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  50.000.000 ","Quỹ thưởng","6. Chi phí khác","Thưởng tổng cuối năm","Định phí","","","","","","","","","","","","","","","","","",""
"01","2025","  -   ","Dự trù phát sinh","6. Chi phí khác","Quỹ dự phòng","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  1.700.000 ","Mua sắm tài sản","6. Chi phí khác","Mua sắm tài sản","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  3.109.333 ","Thưởng nóng+liên hoan","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  -   ","Giới thiệu nhân sự","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","","","","","","","","","","","","","","","",""
"01","2025","  2.413.333 ","đào tạo nhân sự","4. Chi phí nhân sự","Đào tạo nhân sự","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  33.367.335 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  15.474.568 ","Tiền thuê xe+phí về xe","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","","","","","","","","","","","","","","","",""
"02","2025","  4.916.667 ","bãi xe cty+bãi xe nv","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  14.738.973 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  19.016.666 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  23.338.667 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  110.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  7.643.333 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","","Cộng tác viên","2. Chi phí bán hàng","Agency hoặc freelancer","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  7.788.727 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  9.572.833 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  13.464.650 ","Hoa hòng gth","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  22.000.000 ","TikTok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  162.389.222 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  4.294.240 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  7.511.600 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  399.486.151 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","","","","","","","","","","","","","","","",""
"02","2025","  127.714.660 ","Chi phí MB","3. Chi phí quản lý doanh nghiệp","Thuê mặt bằng","Định phí","","","","","","","","","","","","","","","","","",""
"02","2025","  30.006.613 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","","","","","","","","","","","","","","","",""
"02","2025","  18.000.000 ","Thuê bằng bs+bằng y tá","3. Chi phí quản lý doanh nghiệp","Thuê bằng bác sĩ","Định phí","","","","","","","","","","","","","","","","","",""
"02","2025","  10.666.667 ","chi phí cho quận, phường","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  6.400.000 ","mua kin","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  2.907.000 ","tiền xnm","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  5.116.000 ","Khẩu trang + thuốc giảm đau + mua thuốc chống sốc","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  20.445.000 ","xương zimmer","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  29.874.000 ","công nợ Thanh Ngọc T1/25","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  14.470.000 ","công nợ SIC VĐ","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  31.400.000 ","công nợ hd xương màn VĐ","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  3.500.000 ","mua đầu scan máy itero","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  1.337.000 ","mũi đốt nướu","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  160.250.000 ","labo","1. Giá vốn hàng bán","Lab răng sứ","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  1.260.000 ","labo","1. Giá vốn hàng bán","Lab răng sứ","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","","Quỹ thưởng","6. Chi phí khác","Thưởng tổng cuối năm","Định phí","","","","","","","","","","","","","","","","","",""
"02","2025","","Dự trù phát sinh","6. Chi phí khác","Quỹ dự phòng","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  83.932.000 ","Mua sắm tài sản","6. Chi phí khác","Mua sắm tài sản","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  15.896.668 ","Thưởng nóng+liên hoan","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","","Giới thiệu nhân sự","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","","","","","","","","","","","","","","","",""
"02","2025","  2.416.667 ","đào tạo nhân sự","4. Chi phí nhân sự","Đào tạo nhân sự","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  60.005.019 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  22.646.177 ","Tiền thuê xe+phí về xe","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","","","","","","","","","","","","","","","",""
"03","2025","  4.588.000 ","bãi xe cty+bãi xe nv","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  15.760.186 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  20.715.335 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  20.888.667 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  157.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  25.218.334 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  -   ","Cộng tác viên","2. Chi phí bán hàng","Agency hoặc freelancer","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  12.821.541 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  -   ","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  99.847.334 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  15.607.870 ","Hoa hòng gth","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  22.000.000 ","TikTok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  -   ","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  382.678.318 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  6.582.681 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  9.629.500 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  443.648.055 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","","","","","","","","","","","","","","","",""
"03","2025","  128.489.333 ","Chi phí MB","3. Chi phí quản lý doanh nghiệp","Thuê mặt bằng","Định phí","","","","","","","","","","","","","","","","","",""
"03","2025","  28.938.240 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","","","","","","","","","","","","","","","",""
"03","2025","  18.000.000 ","Thuê bằng bs+bằng y tá","3. Chi phí quản lý doanh nghiệp","Thuê bằng bác sĩ","Định phí","","","","","","","","","","","","","","","","","",""
"03","2025","  12.000.000 ","chi phí cho quận, phường","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  42.559.000 ","vật tư(đầu CVR, thuốc tê, giấy in phim, đồ dùng pk, chỉ tiêu, nhựa in máng...)","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  16.000.000 ","thanh toán tiền cylinder","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  3.806.000 ","thanh toán tiền phụ kiện Biotem","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  8.275.000 ","xnm","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  22.079.400 ","Công nợ implant swiss","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  31.800.000 ","hd xương osteobiol kì cuối","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  6.400.000 ","Kin","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  253.000 ","mua kính bảo hộ cho KH","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  31.400.000 ","Hd xương màn Viêt Đăng","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  14.470.000 ","Hd sic","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  198.100.000 ","lab","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  38.400.000 ","lab","1. Giá vốn hàng bán","Lab răng sứ","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  100.000.000 ","Quỹ thưởng","6. Chi phí khác","Thưởng tổng cuối năm","Định phí","","","","","","","","","","","","","","","","","",""
"03","2025","  -   ","Dự trù phát sinh","6. Chi phí khác","Quỹ dự phòng","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  77.868.667 ","Mua sắm tài sản","6. Chi phí khác","Mua sắm tài sản","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  17.762.667 ","Thưởng nóng+liên hoan","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  -   ","Giới thiệu nhân sự","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","","","","","","","","","","","","","","","",""
"03","2025","  1.166.667 ","đào tạo nhân sự","4. Chi phí nhân sự","Đào tạo nhân sự","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  20.205.669 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  22.312.000 ","Tiền thuê xe+phí về xe","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","","","","","","","","","","","","","","","",""
"04","2025","  4.860.667 ","bãi xe cty+bãi xe nv","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  22.915.694 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  10.865.680 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  200.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  23.833.200 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  -   ","Cộng tác viên","2. Chi phí bán hàng","Agency hoặc freelancer","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  10.291.074 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  -   ","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  35.325.734 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  28.938.475 ","Hoa hòng gth","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  22.000.000 ","TikTok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  -   ","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  259.739.627 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  5.399.822 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  11.091.000 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  453.028.642 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","","","","","","","","","","","","","","","",""
"04","2025","  129.913.020 ","Chi phí MB","3. Chi phí quản lý doanh nghiệp","Thuê mặt bằng","Định phí","","","","","","","","","","","","","","","","","",""
"04","2025","  29.013.360 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","","","","","","","","","","","","","","","",""
"04","2025","  18.000.000 ","Thuê bằng bs+bằng y tá","3. Chi phí quản lý doanh nghiệp","Thuê bằng bác sĩ","Định phí","","","","","","","","","","","","","","","","","",""
"04","2025","  14.166.667 ","chi phí cho quận, phường","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  1.686.667 ","nước ngâm dụng cụ","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  2.406.667 ","thuốc giảm đau","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  129.000 ","mua giấy bạc nano tgip","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  257.000 ","hộc tủ nhựa  tgip","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  9.500.000 ","Tiền tấm in và màn hình máy in TGIP","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  7.750.000 ","composite lỏng","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  3.300.000 ","tiền cây cào xương TGIP","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  32.385.000 ","Thanh Ngọc T2","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  18.968.000 ","tiền vật liệu, banh vạt, cây bóc tách, cán dao mổ, cây đo túi nướu, cây nạo xương, kềm nhổ chân răng, kềm nạy, tay khoan chậm","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  5.155.000 ","xương zimmer","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  79.100.000 ","hd 20tr strauman đợt 3/3 done","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  6.107.000 ","tiền xnm","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  3.200.000 ","Kin","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  5.990.000 ","implant Osstem 2set","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  20.702.000 ","vât lieu TGIP","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  2.500.000 ","Nhận mũi nhổ răng(TGIL)","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  1.257.000 ","hàng đtt của TGIP","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  14.470.000 ","công nợ SIC","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  42.909.000 ","Thanh Ngọc T3/25 tgip","1. Giá vốn hàng bán","Vật liệu implant","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  9.000.000 ","Tiền hàm tạm BN Khả Ái(TGIP)","1. Giá vốn hàng bán","Lab răng sứ","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  13.980.000 ","Tháo lắp t3,4","1. Giá vốn hàng bán","Lab răng sứ","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  32.050.000 ","lab Vũ","1. Giá vốn hàng bán","Lab răng sứ","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  33.900.000 ","lab Thịnh","1. Giá vốn hàng bán","Lab răng sứ","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  100.000.000 ","Quỹ thưởng","6. Chi phí khác","Thưởng tổng cuối năm","Định phí","","","","","","","","","","","","","","","","","",""
"04","2025","  -   ","Dự trù phát sinh","6. Chi phí khác","Quỹ dự phòng","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  46.083.001 ","Mua sắm tài sản","6. Chi phí khác","Mua sắm tài sản","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  3.191.667 ","Thưởng nóng+liên hoan","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  -   ","Giới thiệu nhân sự","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","","","","","","","","","","","","","","","",""
"04","2025","  1.000.000 ","đào tạo nhân sự","4. Chi phí nhân sự","Đào tạo nhân sự","Biến phí","","","","","","","","","","","","","","","","","",""
