DIỄN GIẢI,,, KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH 
,Chi phí vận hành,,  22.500.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,"Điện, nước, wifi",,  -   ,,,,,,,,,,,
2,Hành chính chung,,  22.500.000 ,,,,,,,,,,,
3,"Bảo trì, sửa chữa, khử khuẩn",,  -   ,,,,,,,,,,,
,Chi phí khác,,  4.130.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,Phí cà thẻ,,  -   ,,,,,,,,,,,
2,Quỹ dự phòng,,  -   ,,,,,,,,,,,
3,Tiếp khách phòng khám,,  4.130.000 ,,,,,,,,,,,
,Chi phí nhân sự,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,KPI,,  -   ,,,,,,,,,,,
2,"Thưởng nóng, liên hoan, đào tạo, giới thiệu",,  -   ,,,,,,,,,,,
,"Thuế, phí",,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,"Phường, quận",,  -   ,,,,,,,,,,,
2,Thuế nhà nước,,  -   ,,,,,,,,,,,
,Chi phí đầu tư,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,Mua sắm tài sản,,  -   ,,,,,,,,,,,
TỔNG KẾT DÒNG TIỀN CUỐI KỲ,,  (130.221.667),  (130.221.667),  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
TỶ TRỌNG,,,,,,,,,,,,,,
CÁC KHOẢN PHÍ,,,,,,,,,,,,,,
Định phí,,,  4.025.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Biến phí,,,  126.196.667 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Giá vốn nguyên vật liệu,,  44.566.667 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Chi phí kinh doanh,,  55.000.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Chi phí vận hành,,  22.500.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Chi phí khác,,  4.130.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Chi phí nhân sự,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Chi phí đầu tư,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Tên cổ đông,,% GÓP VỐN,,,,,,,,,,,,
A. Quang,,,,,,,, - ,,,,,,
A. Dũng,,,,,,,, - ,,,,,,
A. Hiền,,,,,,,,,,,,,,
A. Huỳnh Phương,,,,,,,, - ,,,,,,
A. Tiến Luật,,,,,,,, - ,,,,,,
A. Ngô Kiến Huy,,,,,,,, - ,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,, x ,
