DIỄN GIẢI,,, KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH 
3,Tặng phẩm khách,,  -   ,,,,,,,,,,,
4,Hành chính marketing,,  -   ,,,,,,,,,,,
5,Thưởng gián tiếp,,  -   ,,,,,,,,,,,
,Chi phí vận hành,,  22.500.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,"Điện, nước, wifi",,  -   ,,,,,,,,,,,
2,Hành chính chung,,  22.500.000 ,,,,,,,,,,,
3,"Bảo trì, sửa chữa, khử khuẩn",,  -   ,,,,,,,,,,,
,Chi phí khác,,  4.130.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,Phí cà thẻ,,  -   ,,,,,,,,,,,
2,Quỹ dự phòng,,  -   ,,,,,,,,,,,
3,Tiếp khách phòng khám,,  4.130.000 ,,,,,,,,,,,
,Chi phí nhân sự,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,KPI,,  -   ,,,,,,,,,,,
2,"Thưởng nóng, liên hoan, đào tạo, giới thiệu",,  -   ,,,,,,,,,,,
,"Thuế, phí",,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,"Phường, quận",,  -   ,,,,,,,,,,,
2,Thuế nhà nước,,  -   ,,,,,,,,,,,
,Chi phí đầu tư,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1,Mua sắm tài sản,,  -   ,,,,,,,,,,,
TỔNG KẾT DÒNG TIỀN CUỐI KỲ,,  (56.788.333),  (56.788.333),  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
TỶ TRỌNG,,,,,,,,,,,,,,
CÁC KHOẢN PHÍ,,,,,,,,,,,,,,
Định phí,,,  4.025.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Biến phí,,,  52.763.333 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Giá vốn nguyên vật liệu,,  26.133.333 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Chi phí kinh doanh,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Chi phí vận hành,,  22.500.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Chi phí khác,,  4.130.000 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Chi phí nhân sự,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Chi phí đầu tư,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Tên cổ đông,,% GÓP VỐN,,,,,,,,,,,,
A. Quang,,45%,,,,,, - ,,,,,,
A. Dũng,,20%,,,,,, - ,,,,,,
A. Hiền,,5%,,,,,,,,,,,,
A. Huỳnh Phương,,10%,,,,,, - ,,,,,,
A. Tiến Luật,,10%,,,,,, - ,,,,,,
A. Ngô Kiến Huy,,10%,,,,,, - ,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,, x ,
