 DIỄN GIẢI ,,, KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH 
 Định phí ,,,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 
  1 , Chi phí nhân sự ,,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 
  2 ," Mặt bằng, thuê xe, bãi xe ",,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 
  3 , Thưởng tổng cuối năm ,,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 
 Biến phí ,,,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 
, Giá vốn nguyên vật liệu ,,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 
  1 ," Các vật tư tiêu hao, thuốc ",,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 ,  250.000.000 
  2 , Lab răng sứ ,,  600.000.000 ,  600.000.000 ,  600.000.000 ,  600.000.000 ,  600.000.000 ,  600.000.000 ,  600.000.000 ,  600.000.000 ,  600.000.000 ,  600.000.000 ,  600.000.000 ,  600.000.000 
, Chi phí kinh doanh ,,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 
  1 , Chi phí quảng cáo ,,  400.000.000 ,  400.000.000 ,  400.000.000 ,  400.000.000 ,  400.000.000 ,  400.000.000 ,  400.000.000 ,  400.000.000 ,  400.000.000 ,  400.000.000 ,  400.000.000 ,  400.000.000 
  2 , Hoa hồng giới thiệu ,,,,,,,,,,,,,
  3 , MKT Offline đi trường ,,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 
  4 , Hành chính marketing ,,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 
  5 , Thưởng gián tiếp ,,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 
, Chi phí vận hành ,,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 
  1 ," Điện, nước, wifi ",,  44.000.000 ,  44.000.000 ,  44.000.000 ,  44.000.000 ,  44.000.000 ,  44.000.000 ,  44.000.000 ,  44.000.000 ,  44.000.000 ,  44.000.000 ,  44.000.000 ,  44.000.000 
  2 , Hành chính chung ,,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 
  3 ," Bảo trì, sửa chữa, khử khuẩn ",,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 
, Chi phí khác ,,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 
  1 , Phí cà thẻ ,,  15.000.000 ,  15.000.000 ,  15.000.000 ,  15.000.000 ,  15.000.000 ,  15.000.000 ,  15.000.000 ,  15.000.000 ,  15.000.000 ,  15.000.000 ,  15.000.000 ,  15.000.000 
  2 , Quỹ dự phòng ,,,,,,,,,,,,,
  3 , Giao lưu tiếp khách ngoài ,,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 
  4 , Tiếp khách phòng khám ,,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 
, Chi phí nhân sự ,,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 
  1 , KPI ,,  550.000.000 ,  550.000.000 ,  550.000.000 ,  550.000.000 ,  550.000.000 ,  550.000.000 ,  550.000.000 ,  550.000.000 ,  550.000.000 ,  550.000.000 ,  550.000.000 ,  550.000.000 
  2 ," Thưởng nóng, liên hoan, đào tạo, giới thiệu ",,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 
," Thuế, phí ",,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 
  1 ," Phường, quận ",,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 
  2 , Thuế nhà nước ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
, Chi phí đầu tư ,,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 
  1 , Mua sắm tài sản ,,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 
 TỔNG KẾT DÒNG TIỀN CUỐI KỲ ,,  6.492.000.000 ,  541.000.000 ,  541.000.000 ,  541.000.000 ,  541.000.000 ,  541.000.000 ,  541.000.000 ,  541.000.000 ,  541.000.000 ,  541.000.000 ,  541.000.000 ,  541.000.000 ,  541.000.000 
 TỶ TRỌNG ,,,,,,,,,,,,,,
 CÁC KHOẢN PHÍ ,,,,,,,,,,,,,,
 Định phí ,,,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 ,  1.300.000.000 
 Biến phí ,,,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 ,  2.159.000.000 
, Giá vốn nguyên vật liệu ,,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 ,  850.000.000 
, Chi phí kinh doanh ,,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 ,  480.000.000 
, Chi phí vận hành ,,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 ,  114.000.000 
, Chi phí khác ,,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 ,  65.000.000 
, Chi phí nhân sự ,,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 ,  580.000.000 
, Chi phí đầu tư ,,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 
 Tên cổ đông ,, % GÓP VỐN ,,,,,,,,,,,,
 A. Quang ,,,,,,,, - ,,,,,,
 A. Dũng ,,,,,,,, - ,,,,,,
 A. Hiền ,,,,,,,,,,,,,,
 A. Huỳnh Phương ,,,,,,,, - ,,,,,,
 A. Tiến Luật ,,,,,,,, - ,,,,,,
 A. Ngô Kiến Huy ,,,,,,,, - ,,,,,,
